timestamp,machine_id,temp,vibration,pressure,risk,health_score
2026-09-06 22:58:00,M1,90.3,1.18,44.1,52.8,40.2
2026-09-06 22:58:00,M3,82.6,0.93,41.5,49.9,49.8
2026-09-06 22:58:00,M5,96.4,1.31,46.0,76.6,20.9
2026-09-06 22:58:00,M6,67.9,0.38,30.8,7.3,97.5
2026-09-06 22:58:00,M2,60.7,0.11,29.2,0.8,100.0
2026-09-06 22:58:00,M7,79.2,0.69,38.7,24.6,83.4
2026-09-06 22:58:00,M4,52.4,0.17,26.2,1.7,100.0
2026-09-06 22:58:00,M8,55.3,0.15,28.2,0.0,100.0
2026-09-06 23:03:00,M6,68.5,0.36,30.6,5.8,94.4
2026-09-06 23:03:00,M2,60.0,0.17,29.0,0.0,100.0
2026-09-06 23:03:00,M5,95.4,1.26,46.8,81.3,22.2
2026-09-06 23:03:00,M8,56.8,0.16,29.4,2.2,100.0
2026-09-06 23:03:00,M1,88.9,1.13,44.0,55.6,43.7
2026-09-06 23:03:00,M3,85.2,0.89,42.2,49.5,48.0
2026-09-06 23:03:00,M7,76.8,0.58,36.6,19.5,77.8
2026-09-06 23:03:00,M4,54.0,0.12,27.3,0.0,97.5
2026-09-06 23:08:00,M3,85.3,0.92,41.5,46.0,52.8
2026-09-06 23:08:00,M7,76.7,0.64,36.6,22.6,80.9
2026-09-06 23:08:00,M1,85.8,1.21,43.3,61.0,44.8
2026-09-06 23:08:00,M8,59.3,0.09,29.6,0.0,100.0
2026-09-06 23:08:00,M4,55.2,0.22,25.4,0.0,99.3
2026-09-06 23:08:00,M6,66.7,0.36,30.2,0.0,94.5
2026-09-06 23:08:00,M2,58.5,0.24,28.7,7.6,96.2
2026-09-06 23:08:00,M5,95.6,1.28,46.1,77.9,21.1
2026-09-06 23:09:00,M9,72.8,0.43,31.2,0.0,93.2
2026-09-06 23:13:00,M1,88.5,1.23,44.6,58.3,43.7
2026-09-06 23:13:00,M3,84.1,0.99,41.2,49.6,50.4
2026-09-06 23:13:00,M2,62.4,0.15,29.6,0.4,98.2
2026-09-06 23:13:00,M6,66.1,0.39,29.4,2.6,98.6
2026-09-06 23:13:00,M7,77.7,0.68,36.6,20.8,82.4
2026-09-06 23:13:00,M4,53.7,0.08,27.2,0.0,100.0
2026-09-06 23:13:00,M8,56.4,0.18,29.5,0.7,100.0
2026-09-06 23:13:00,M5,94.4,1.34,47.0,71.7,19.7
2026-09-06 23:14:00,M9,71.4,0.38,31.1,2.6,96.7
2026-09-06 23:18:00,M3,85.4,1.04,41.4,54.9,51.5
2026-09-06 23:18:00,M1,90.8,1.22,44.1,55.2,44.0
2026-09-06 23:18:00,M8,56.7,0.18,27.9,0.0,99.6
2026-09-06 23:18:00,M6,63.9,0.34,30.3,0.4,95.3
2026-09-06 23:18:00,M5,95.0,1.27,46.1,77.8,20.4
2026-09-06 23:18:00,M7,78.6,0.56,36.8,24.6,80.3
2026-09-06 23:18:00,M2,63.4,0.2,28.8,2.3,100.0
2026-09-06 23:18:00,M4,52.7,0.16,26.4,0.0,100.0
2026-09-06 23:19:00,M9,68.3,0.46,30.4,8.0,97.8
2026-09-06 23:23:00,M7,79.1,0.56,37.0,15.9,80.6
2026-09-06 23:23:00,M1,89.1,1.08,46.0,51.5,38.9
2026-09-06 23:23:00,M2,58.7,0.22,29.8,3.0,100.0
2026-09-06 23:23:00,M3,84.4,0.98,42.3,52.3,47.4
2026-09-06 23:23:00,M8,56.8,0.2,28.5,0.0,100.0
2026-09-06 23:23:00,M6,66.1,0.24,30.3,1.5,97.2
2026-09-06 23:23:00,M5,94.6,1.3,46.7,77.4,20.4
2026-09-06 23:23:00,M4,52.3,0.13,25.7,0.0,100.0
2026-09-06 23:24:00,M9,71.0,0.48,31.7,5.3,96.7
2026-09-06 23:28:00,M1,87.7,1.21,45.9,56.5,42.1
2026-09-06 23:28:00,M3,86.2,0.91,41.7,49.8,50.0
2026-09-06 23:28:00,M6,67.5,0.31,30.9,9.8,92.3
2026-09-06 23:28:00,M7,75.8,0.7,36.4,21.5,79.5
2026-09-06 23:28:00,M5,95.4,1.23,46.4,80.5,22.8
2026-09-06 23:28:00,M2,60.4,0.18,30.4,1.9,95.9
2026-09-06 23:28:00,M4,53.9,0.12,26.3,0.4,100.0
2026-09-06 23:28:00,M8,57.4,0.2,28.3,0.0,100.0
2026-09-06 23:29:00,M9,73.3,0.47,31.2,2.2,97.0
2026-09-06 23:33:00,M6,66.1,0.36,30.8,5.7,91.7
2026-09-06 23:33:00,M7,77.6,0.57,37.3,20.1,83.7
2026-09-06 23:33:00,M1,89.8,1.17,44.9,54.4,43.6
2026-09-06 23:33:00,M4,53.9,0.13,26.4,0.0,100.0
2026-09-06 23:33:00,M3,87.8,0.95,40.6,53.4,49.9
2026-09-06 23:33:00,M5,92.2,1.39,46.4,81.2,18.0
2026-09-06 23:33:00,M2,59.8,0.18,29.6,7.0,98.0
2026-09-06 23:33:00,M8,59.5,0.13,29.4,0.0,100.0
2026-09-06 23:34:00,M9,71.6,0.33,33.1,0.0,91.9
2026-09-06 23:38:00,M6,67.8,0.32,30.3,7.7,93.1
2026-09-06 23:38:00,M7,77.4,0.65,36.7,25.9,81.6
2026-09-06 23:38:00,M1,90.2,1.08,44.8,57.9,43.7
2026-09-06 23:38:00,M2,61.3,0.28,30.2,2.5,100.0
2026-09-06 23:38:00,M8,56.8,0.11,29.4,0.0,100.0
2026-09-06 23:38:00,M3,85.9,0.86,42.1,49.2,51.5
2026-09-06 23:38:00,M5,96.6,1.29,46.8,78.7,20.0
2026-09-06 23:38:00,M4,52.2,0.21,26.6,0.0,100.0
2026-09-06 23:39:00,M9,70.2,0.46,33.0,3.5,95.1
2026-09-06 23:43:00,M3,86.4,0.98,41.7,46.1,51.3
2026-09-06 23:43:00,M4,51.9,0.12,27.1,0.0,100.0
2026-09-06 23:43:00,M6,68.6,0.36,31.0,6.0,95.6
2026-09-06 23:43:00,M5,96.8,1.26,46.7,78.6,17.1
2026-09-06 23:43:00,M2,61.1,0.22,30.4,2.7,97.0
2026-09-06 23:43:00,M8,58.7,0.11,28.6,0.0,100.0
2026-09-06 23:43:00,M1,88.6,1.13,44.3,59.0,40.7
2026-09-06 23:43:00,M7,78.7,0.69,36.4,19.4,81.0
2026-09-06 23:44:00,M9,72.3,0.42,32.0,1.4,96.6
2026-09-06 23:48:00,M1,88.8,1.25,44.4,55.6,42.0
2026-09-06 23:48:00,M5,96.0,1.29,46.6,76.4,19.5
2026-09-06 23:48:00,M6,68.9,0.34,32.0,7.3,96.1
2026-09-06 23:48:00,M2,59.3,0.21,30.9,1.3,100.0
2026-09-06 23:48:00,M4,54.3,0.13,26.9,0.2,98.0
2026-09-06 23:48:00,M8,58.7,0.23,28.8,3.1,100.0
2026-09-06 23:48:00,M3,86.5,0.93,41.6,48.6,45.7
2026-09-06 23:48:00,M7,76.7,0.63,36.0,20.9,79.1
2026-09-06 23:49:00,M9,72.7,0.33,31.9,4.9,96.7
2026-09-06 23:53:00,M7,78.0,0.65,37.0,22.0,78.0
2026-09-06 23:53:00,M8,58.0,0.2,29.0,0.0,100.0
2026-09-06 23:53:00,M6,68.0,0.38,31.0,6.0,94.0
2026-09-06 23:53:00,M6,69.4,0.36,31.0,6.2,94.6
2026-09-06 23:53:00,M4,55.0,0.15,27.0,0.0,100.0
2026-09-06 23:53:00,M7,77.9,0.58,37.5,22.5,72.9
2026-09-06 23:53:00,M1,90.3,1.25,44.4,54.1,41.8
2026-09-06 23:53:00,M2,61.6,0.21,28.3,2.6,97.4
2026-09-06 23:53:00,M5,96.0,1.3,47.0,80.0,20.0
2026-09-06 23:53:00,M3,84.4,0.95,43.0,52.1,52.2
2026-09-06 23:53:00,M5,95.8,1.3,47.0,77.0,22.0
2026-09-06 23:53:00,M4,55.4,0.16,26.6,0.0,100.0
2026-09-06 23:53:00,M8,57.9,0.18,28.3,0.0,100.0
2026-09-06 23:53:00,M1,90.0,1.2,45.0,58.0,42.0
2026-09-06 23:53:00,M3,86.0,0.95,42.0,51.0,49.0
2026-09-06 23:53:00,M2,61.0,0.22,30.0,2.0,98.0
2026-09-06 23:54:00,M5,96.0,1.3,47.0,80.0,20.0
2026-09-06 23:54:00,M4,55.0,0.15,27.0,0.0,100.0
2026-09-06 23:54:00,M3,86.0,0.95,42.0,51.0,49.0
2026-09-06 23:54:00,M2,61.0,0.22,30.0,2.0,98.0
2026-09-06 23:54:00,M6,68.0,0.38,31.0,6.0,94.0
2026-09-06 23:54:00,M1,90.0,1.2,45.0,58.0,42.0
2026-09-06 23:54:00,M7,78.0,0.65,37.0,22.0,78.0
2026-09-06 23:54:00,M8,58.0,0.2,29.0,0.0,100.0
2026-09-06 23:54:00,M9,71.1,0.38,31.4,6.0,93.7
2026-09-06 23:55:00,M7,78.0,0.65,37.0,22.0,78.0
2026-09-06 23:55:00,M6,68.0,0.38,31.0,6.0,94.0
2026-09-06 23:55:00,M5,96.0,1.3,47.0,80.0,20.0
2026-09-06 23:55:00,M4,55.0,0.15,27.0,0.0,100.0
2026-09-06 23:55:00,M3,86.0,0.95,42.0,51.0,49.0
2026-09-06 23:55:00,M2,61.0,0.22,30.0,2.0,98.0
2026-09-06 23:55:00,M1,90.0,1.2,45.0,58.0,42.0
2026-09-06 23:55:00,M8,58.0,0.2,29.0,0.0,100.0
2026-09-06 23:56:00,M4,55.0,0.15,27.0,0.0,100.0
2026-09-06 23:56:00,M8,58.0,0.2,29.0,0.0,100.0
2026-09-06 23:56:00,M7,78.0,0.65,37.0,22.0,78.0
2026-09-06 23:56:00,M6,68.0,0.38,31.0,6.0,94.0
2026-09-06 23:56:00,M5,96.0,1.3,47.0,80.0,20.0
